event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,Chicago Marathon: Kick Off Training Run,5/10/2009,theroadtoboston@rcn.com,7733070033 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Race to Wrigley 5k,5/10/2009,jruston@chicagoevents.com,7735846638 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Groovin in the Grove 5K Race & Fun Walk,5/10/2009,devans@midwestern.edu,6309716401 ,,"Downers Grove, IL",,,,,,,,,,,,,,,,,
,Root Awakening 5K - Run for Forgotten Children,5/10/2009,info@rootawakening.org, ,,"Hoffman Estates, IL",,,,,,,,,,,,,,,,,
,TheraCORE 5K Race for a Cure,5/10/2009,janice@theracorept.com,8158385070 ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,Feets of Strength 5K Run/Walk for Child Abuse Awareness,5/10/2009,feetsofstrength@att.net,6307424393 ,,"Mooseheart, IL",,,,,,,,,,,,,,,,,
,Oak Brook Park District Pink 5K,5/10/2009,cpiasecki@obparks.org,6306459529 ,,"Oak Brook, IL",,,,,,,,,,,,,,,,,
,Trot for Theresa 5k,5/10/2009,jdoland@dolandengineering.com, ,,"Palatine, IL",,,,,,,,,,,,,,,,,
,SMI 5K and 2K kids run,5/10/2009,sehling@mcs.anl.gov, ,,"Plainfield, IL",,,,,,,,,,,,,,,,,
,Literacy Half Marathon 2013,5/10/2009,runnersimage@choiceonemail.com,8159632171 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Mama's 5K Run,5/10/2009,willd@zbths.org,8477465505 ,,"Zion, IL",,,,,,,,,,,,,,,,,
,Dances With Dirt Gnaw Bone,5/10/2009,events@runningfit.com,7349299027 ,,"Nashville, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Willow Duathlon,5/10/2009,info@3disciplines.com,2315462229 ,,"New Boston, MI",,,,,,,,,,,,,,,,,
,"Amped Up Adventure Race Series - Beloit, WI Race",5/10/2009,info@ampedupadventurerace.com,6083134535 ,,"Beloit, WI",,,,,,,,,,,,,,,,,
,Journeys Marathon,5/10/2009,kim@eagleriver.org,8003596315 ,,"Eagle River, WI",,,,,,,,,,,,,,,,,
,It's Glow Time 5K - Madison,5/10/2009,raceday@racedayeventsllc.com,6083165755 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Spring Family 5K Run/Walk,5/10/2009,raceinfo@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Mother's Day 5K Run/Walk,5/11/2009,info@allcommunityevents.com, ,,"Barrington, IL",,,,,,,,,,,,,,,,,
,The 44th Annual Swedish Days Ride,6/22/2009,swedishdays@fvbsc.org, ,,"Burlington, IL",,,,,,,,,,,,,,,,,
,Chicago Women's Half Marathon and 5K,6/22/2009,Info@WomensHalfChicago.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,DG5 Miler 36th Annual Downers Grove Park District Race 5 Miler,6/22/2009,snance@dgparks.org,6309607250 ,,"Downers Grove, IL",,,,,,,,,,,,,,,,,
,Illinois State Time Trial Championship,6/22/2009,info@teamapache.org, ,,"Paw Paw, IL",,,,,,,,,,,,,,,,,
,Edge the Ledge,6/22/2009,ben@midwestsportsevents.com,9203388741 ,,"Fond du Lac, WI",,,,,,,,,,,,,,,,,
,Pleasant Prairie Triathlon,6/22/2009,raceinfo@plprairie.com,2629256742 ,http://pleasantprairietriathlon.com/,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,BigFoot Triathlon,6/22/2009,info@ramracing.org, ,,"Lake Geneva, WI",,,,,,,,,,,,,,,,,
,Zeeland Zoom 5K Foot Race & Walk,6/24/2009,aderoo@ci.zeeland.mi.us,6167485906 ,http://www.feelthezeel.com/,"Zeeland, MI",,,,,,,,,,,,,,,,,
,C + C Triathlete Factory Camp,6/27/2009,christopherasweet@hotmail.com,3096781275 ,,"Chillicothe, IL",,,,,,,,,,,,,,,,,
,Brookfield Insanity Obstacle Run,6/28/2009,brookfieldinsanityrun@gmail.com,7087853579 ,http://www.insanityrun.com/,"Brookfield, IL",,,,,,,,,,,,,,,,,
,5th Annual Joshua Kurby Charge for CHARGE 5K,6/28/2009,Sandy417@hotmail.com,6302313505 ,http://www.athletecalendar.com/details.php?race=9437,"Warrenville, IL",,,,,,,,,,,,,,,,,
,Morse Park Summer Triathlon,6/28/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/MorseTri/MorseTri-Home.php,"Noblesville, IN",,,,,,,,,,,,,,,,,
,20th Annual Warsaw Optimist Triathlon,6/28/2009,rondonkers@hotmail.com,5742655699 ,http://www.warsawoptimist.org/,"Winona Lake, IN",,,,,,,,,,,,,,,,,
,32nd Annual Proud To Run 10K & 5K run walk,6/28/2009,proudtorun@yahoo.com,3126509788 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Mudathlon-Indianapolis,6/28/2009,info@mudathlon.com, ,,"Anderson, IN",,,,,,,,,,,,,,,,,
,Take Steps for Crohns & Colitis,6/29/2009,jkruggel@ccfa.org,8478270404 ,http://www.cctakesteps.org/,"Glenview, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Anyone Can Tri,6/29/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Mount Clemens, MI",,,,,,,,,,,,,,,,,
,3rd Annual Krueger Pool Triathlon,6/29/2009,waites@ci.beloit.wi.us,6083642890 2,http://www.ci.beloit.wi.us/,"Beloit, WI",,,,,,,,,,,,,,,,,
,BAMC Menomnee River Century Bike Ride,6/29/2009,radams@bamc.org,7157354200 310,http://www.mrcride.com/,"Marinette, WI",,,,,,,,,,,,,,,,,
,"Run For the Arts 10K, 5K",7/3/2009,richard.gerwin@advocatehealth.com, ,http://www.signmeup.com/89918,"Barrington, IL",,,,,,,,,,,,,,,,,
,Beecher Freedom 5K Run/Walk,7/3/2009,tstluka@aol.com,7088904505 ,http://www.athletecalendar.com/details.php?race=8758,"Beecher, IL",,,,,,,,,,,,,,,,,
,Community Bank of Elmhurst 4 on the 4th,7/3/2009,info@elmhurst-runners.com,6302694872 ,http://www.4on4th.com/,"Elmhurst, IL",,,,,,,,,,,,,,,,,
,Riverside Independence Day 5K,7/3/2009,tmichalik@riverside.il.us,7084427025 ,http://www.riverside.il.us/,"Riverside, IL",,,,,,,,,,,,,,,,,
,CarmelFest Freedom Run,7/3/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/FreedomRun/FreedomRun-Home.php,"Carmel, IN",,,,,,,,,,,,,,,,,
,T-Rex Trail Ten Miler and the Wimpy 8K,7/3/2009,coachdroski@aim.com,6162602669 ,http://www.trextenmiler.8k.com/,"Lowell, MI",,,,,,,,,,,,,,,,,
,Run For A Vet,7/3/2009,vinceski23@yahoo.com,7155791009 ,http://www.mercercc.com/,"Mercer, WI",,,,,,,,,,,,,,,,,
,Run For Hope 5k,7/5/2009,runforhope@live.com,8155754020 ,http://csn.donordrive.com/index.cfm?fuseaction=cms.page&id=1063,"Woodstock, IL",,,,,,,,,,,,,,,,,
,Over the Top,7/5/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Gaylord, MI",,,,,,,,,,,,,,,,,
,Lakeshore Miracle Run,7/5/2009,vkavanaugh@sbcglobal.net,6163922282 ,http://www.gazellesports.com/,"Holland, MI",,,,,,,,,,,,,,,,,
,2013 Pardeeville Triathlon,7/5/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/pardeeville-triathlon,"Pardeeville, WI",,,,,,,,,,,,,,,,,
,Stampede Run,7/6/2009,craigwcarlson@comcast.net,8475778572 ,http://frontierdays.org/stampede.htm,"Arlington Heights, IL",,,,,,,,,,,,,,,,,
,Brides Run Chicago,7/6/2009,info@bridesrun.com,7732573569 ,http://www.bridesrun.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,"Ride Across INdiana: Same Thing, Only Ride More! (RAINSTORM)",7/6/2009,triri@triri.org,8123338176 ,http://www.athletecalendar.com/details.php?race=2446,"Richmond, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Inter-Rockin Triathlon,7/6/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Interlochen, MI",,,,,,,,,,,,,,,,,
,4th Annual Strike Out ALS 5k,7/8/2009,kmciver@lesturnerals.org,8476793311 ,http://www.strikeoutals5k.org/,"Chicago, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Madison Aquathon #3,7/10/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-madison,"Madison, WI",,,,,,,,,,,,,,,,,
,Waugoshance Trail Marathon,7/12/2009,info@greatlakesendurance.com,7157010360 ,http://www.greatlakesendurance.com/,"Cross Village, MI",,,,,,,,,,,,,,,,,
,Lake Geode Challenge,7/12/2009,racedirector@lakegeodechallenge.com,3192091269 ,http://www.lakegeodechallenge.org/,"Danville, IA",,,,,,,,,,,,,,,,,
,Windmill Whirl 5K Race,7/12/2009,rachels@bataviaparks.org,6308795235 ,http://www.bataviaparks.org/,"Batavia, IL",,,,,,,,,,,,,,,,,
,2013 Chicago Chinatown 5K & Youth Run,7/12/2009,info@chinatown5k.com,3128823188 ,http://www.chinatown5k.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,RundezvousRace,7/12/2009,brian@endorphinadventuresinc.com,8158141100 ,http://rundezvousrace.com/,"Crystal Lake, IL",,,,,,,,,,,,,,,,,
,10th Annual Waterfall Glen Xtreme 10 Race,7/12/2009,higras@communitynurse.org,7083520081 ,http://www.xtreme10race.com/,"Darien, IL",,,,,,,,,,,,,,,,,
,Fisher Fair 5K Run/Fun Walk,7/12/2009,dinis52@aol.com,2178971682 ,http://fisherfair.com/,"Fisher, IL",,,,,,,,,,,,,,,,,
,YMCA/FHN Triathlon,7/12/2009,matt.mullen@highland.edu,8152359622 ,http://www.freeportymca.org/,"Freeport, IL",,,,,,,,,,,,,,,,,
,Evergreen Lake Triathlon,7/12/2009,Trimomevents@frontier.com,3098272272 ,http://www.evergreentri.com/,"Hudson, IL",,,,,,,,,,,,,,,,,
,Run with the Big Dogs 5K and 1 Mile Walk,7/12/2009,stofko121@yahoo.com,2198736296 ,http://www.athletecalendar.com/details.php?race=7252,"Chesterton, IN",,,,,,,,,,,,,,,,,
,"Sunset Tiki Torch 5k, 10k, Kid's 1k",7/12/2009,tom.taylor@outlook.com, ,http://cause2compete.com/werunthistown/tiki5k/,"Portage, IN",,,,,,,,,,,,,,,,,
,Ride Across INdiana (RAIN),7/12/2009,rain@rainride.org, ,http://www.rainride.org/,"Terre Haute to Richmond, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Indiana I-Tri Triathlon,7/12/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"FORT WAYNE, MI",,,,,,,,,,,,,,,,,
,Dances With Dirt Devil's Lake,7/12/2009,events@runningfit.com,7349299027 ,http://www.danceswithdirt.com/,"Baraboo, WI",,,,,,,,,,,,,,,,,
,Home Team Charity Run,7/13/2009,kkennedy@flairagency.com,3129435959 ,http://www.hometeamcharityrun.org/,"Chicago, IL",,,,,,,,,,,,,,,,,
,RUN TO END HOMELESSNESS,7/13/2009,JAMESH@ASAFEHAVEN.COM,7734358300 ,http://www.runtoendhomelessness.org/faf/home/default.asp?ievent=1057984,"CHICAGO, IL",,,,,,,,,,,,,,,,,
,Biking with Beanzie 2013,7/13/2009,BikingwithBeanzie@yahoo.com,3314424166 ,http://kishkiwanis.org/biking-with-beanzie/bwb-general-info/,"DeKalb, IL",,,,,,,,,,,,,,,,,
,2nd Annual 5k Dash N Splash Run/Walk,7/13/2009,info@hpparks.org,6308372468 ,http://hpparks.org/parkfoundation/5kdashnsplash.html,"Hanover Park, IL",,,,,,,,,,,,,,,,,
,Lake Zurich Area Triathlon,7/13/2009,info@321goevents.com,8477272681 ,http://www.321goevents.com/,"Lake Zurich, IL",,,,,,,,,,,,,,,,,
,Tri for Life,7/13/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Otter Lake, MI",,,,,,,,,,,,,,,,,
,1st Annual Walk for Linda: Pancreatic Cancer,7/13/2009,bptaunis@yahoo.com,8159437314 ,https://www.facebook.com/events/calendar,"Lake Geneva, WI",,,,,,,,,,,,,,,,,
,Burgers & Beer 5k,7/14/2009,racedirectors@f3running.com,3125055732 ,http://www.athletecalendar.com/details.php?race=10329,"Chicago, IL",,,,,,,,,,,,,,,,,
,Run For The Kids,7/17/2009,run4thekids@yahoo.com,3129611319 ,http://ignitethespirit.org/events/run-4-the-kids,"Chicago, IL",,,,,,,,,,,,,,,,,
,Esprit de She 5K/10K,7/17/2009,chicagoregistration@lifetimefitness.com,7734042281 ,http://www.espritdeshe.com/page/show/678117-run-chicago,"Chicago, IL",,,,,,,,,,,,,,,,,
,Sundowner 5K,7/17/2009,dgale@jolietpark.org,8157417275 206,http://www.jpdrun3.com/,"Joliet, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Milwaukee Aquathon #3,7/17/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-milwaukee,"Menomonee Falls, WI",,,,,,,,,,,,,,,,,
,Swim Across America - Chicago,7/19/2009,sue@swimacrossamerica.org,3126621243 ,http://www.swimacrossamerica.org/chicago,"Chicago, IL",,,,,,,,,,,,,,,,,
,Alexian Brothers Twilight FitFest Half Marathon / 10K / 5K,7/19/2009,info@allcommunityevents.com, ,http://www.allcommunityevents.com/,"Hoffman Estates, IL",,,,,,,,,,,,,,,,,
,Z Tour Bike Ride,7/19/2009,ztourinfo@gmail.com,8158785054 ,http://www.z-tour.org/,"Princeton , IL",,,,,,,,,,,,,,,,,
,Rockton Triathlon,7/19/2009,meshleman@statelinefamilyymca.org,8156235858 ,http://www.athletecalendar.com/details.php?race=10706,"Rockton, IL",,,,,,,,,,,,,,,,,
,Sprint Triathlon #2,7/19/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/SprintTri/SprintTri-Home.php,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,KPC Sprint-Distance NIE Triathlon,7/19/2009,viw@kpcnews.net,2603470400 161,http://www.kpctriathlon.com/,"Kendallville, IN",,,,,,,,,,,,,,,,,
,Mudathlon-Northwest Indiana,7/19/2009,info@mudathlon.com, ,http://mudathlon.com/index.html,"Valparaiso, IN",,,,,,,,,,,,,,,,,
,Sister Lakes Triathlons,7/19/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Sister Lakes, MI",,,,,,,,,,,,,,,,,
,Summer Family 5K Run/Walk,7/19/2009,raceinfo@plprairie.com,2629256742 ,http://recplexonline.com/fitness-wellness/5k-walk-run-events,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,XSport Fitness Rock 'n' Roll Chicago Half Marathon,7/20/2009,rnrchicago@competitorgroup.com,8003111255 ,http://runrocknroll.competitor.com/chicago,"Chicago, IL",,,,,,,,,,,,,,,,,
,Run for Hunger,7/20/2009,run4hunger@eypc.net,6308336600 ,http://run4hunger.org/,"Elmhurst, IL",,,,,,,,,,,,,,,,,
,Chicagoland Inline Marathon,7/20/2009,info@allcommunityevents.com, ,http://www.allcommunityevents.com/,"Hoffman Estates, IL",,,,,,,,,,,,,,,,,
,Cadence Health Winfield Run,7/20/2009,run.sing@yahoo.com,6306536877 ,http://winfieldhistory.com/,"Winfield, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Mackinaw Multi-Sport Mix,7/20/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Mackinaw City, MI",,,,,,,,,,,,,,,,,
,Undie Dash,7/24/2009,jcain@mychicagoathlete.com,8476750200 210,http://chicagoundiedash.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,The 11th Annual Run for Gus 5k Run/1 Mile Walk,7/24/2009,jett.miller@gmail.com,3128985517 ,http://www.runforgus.org/,"Chicago, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Madison Aquathon #4,7/24/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-madison,"Madison, WI",,,,,,,,,,,,,,,,,
,Great Urban Race,7/26/2009,info@redfrogevents.com,7736874595 ,http://greaturbanrace.com/event2013_chicago.php,"Chicago, IL",,,,,,,,,,,,,,,,,
,BTN Big 10K,7/26/2009,, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Iron Abe Triathlon,7/26/2009,Triharderpromotions@gmail.com,2173411309 ,http://www.triharderpromotions.com/,"Springfield, IL",,,,,,,,,,,,,,,,,
,Route 66 Half Iron,7/26/2009,triharderpromotions@gmail.com,2173411309 ,http://www.triharderpromotions.com/,"Springfield , IL",,,,,,,,,,,,,,,,,
,Stone Man Sprint Triathlon,7/26/2009,Triharderpromotions@gmail.com,2173411309 ,http://triharderpromotions.com/,"Springfield, IL",,,,,,,,,,,,,,,,,
,Kids Wauconda Sprint Triathlon,7/26/2009,kblanas@waucondaparks.com,8475263610 ,http://waucondaparks.org/wauconda-sprint-triathlon/,"Wauconda, IL",,,,,,,,,,,,,,,,,
,Zombie Outbreak 5K,7/26/2009,tuxbro@indy.rr.com,3177333300 ,http://www.zombieoutbreak.com/,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Lumberman Triathlon Festival of Races,7/26/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Cadillac, MI",,,,,,,,,,,,,,,,,
,Grand Island Trail Marathon & Half Marathon,7/26/2009,info@greatlakesendurance.com,7157010360 ,http://www.greatlakesendurance.com/,"Munising, MI",,,,,,,,,,,,,,,,,
,2013 Tri-ing for Children's Kid's Triathlon,7/26/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.triingforchildrens.com/,"Dousman, WI",,,,,,,,,,,,,,,,,
,2nd Annual Run for Walk at Northwestern University,7/27/2009,ssullivan@northwestern.edu,8474917504 ,http://nusports.com/runforwalk,"Evanston , IL",,,,,,,,,,,,,,,,,
,Glenview Park District's 12th Annual Sprint Triathlon,7/27/2009,kathleen.mcinnis@glenviewparks.org,2245212596 ,http://www.glenviewparks.org/Fitness/triathlon-fun-run.htm,"Glenview, IL",,,,,,,,,,,,,,,,,
,GYRIG Tinley Park 5K,7/27/2009,christielockhart@getyourrearingear.com,7086147204 ,http://www.getyourrearingear.com/events,"Tinley Park, IL",,,,,,,,,,,,,,,,,
,Wauconda Triathlons,7/27/2009,nburton@waucondaparks.com,8475263610 ,http://www.waucondaparks.com/wauconda-sprint-triathlon/,"Wauconda, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - The Village Tri & Du,7/27/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Clarkston, MI",,,,,,,,,,,,,,,,,
,2013 Tri-ing for Children's Adult Triathlon,7/27/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.triingforchildrens.com/,"Dousman, WI",,,,,,,,,,,,,,,,,
,RMC Triathlon,7/27/2009,rmctriathlon@agnesian.com,9207480528 ,http://www.rmctriathlon.com/,"Green Lake, WI",,,,,,,,,,,,,,,,,
,Call Me Al 5K,7/28/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/,"Zionsville, IN",,,,,,,,,,,,,,,,,
,Summer Sunset 5K and Family Night,7/30/2009,president@foxrivertrailrunners.org, ,http://www.foxrivertrailrunners.org/summersunset,"Geneva, IL",,,,,,,,,,,,,,,,,
,Terrapin 5k & Music Festival,7/31/2009,info@ramracing.org, ,http://www.terrapin5k.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Milwaukee Aquathon #4,7/31/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-milwaukee,"Menomonee Falls, WI",,,,,,,,,,,,,,,,,
,Coach Mark Buciak Summer Running Camp,8/1/2009,theroadtoboston@rcn.com,7733070033 ,http://www.theroadtoboston.info/,"Burrington, IL, WI",,,,,,,,,,,,,,,,,
,"The Red, White & Blue-John Kurz 5K run/walk- Honoring our Veterans",8/2/2009,lpage@bensenvilleparkdistrict.org,6307667015 ,http://www.bensenvilleparkdistrict.org/,"Bensenville, IL",,,,,,,,,,,,,,,,,
,CowaLUNGa 2013 Bike Tour,8/2/2009,niki@lungchicago.org,3126280212 ,http://www.cowalunga.org/,"Gurnee, IL",,,,,,,,,,,,,,,,,
,5K Run/Walk for The Kids,8/2/2009,info@il-lb.easterseals.com,8154340857 ,http://www.athletecalendar.com/details.php?race=10662,"Ottawa, IL",,,,,,,,,,,,,,,,,
,SwedishAmerican State Street Mile,8/2/2009,mark.hepworth1@gmail.com,8159858096 ,http://www.swedishamerican.org/,"Rockford, IL",,,,,,,,,,,,,,,,,
,Shape Diva Dash- Chicagoland,8/2/2009,john@adventurefit.com, ,http://divadash.com/,"Sandwich, IL",,,,,,,,,,,,,,,,,
,Music in Motion 5K,8/2/2009,lauffline@comcast.net,8156261948 ,http://www.musicinmotion5k.org/,"Sterling, IL",,,,,,,,,,,,,,,,,
,The Legend,8/2/2009,events@runningfit.com,7349299027 ,http://www.runlegend.com/,"Laingsburg, MI",,,,,,,,,,,,,,,,,
,2013 Sheboygan Brat Trot,8/2/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/sheboygan-brat-trot,"Kohler, WI",,,,,,,,,,,,,,,,,
,34th Annual Woodson YMCA Triathlon,8/2/2009,woodsonymcatri@yahoo.com,7158452177 ,http://www.woodsonymca.com/,"Wausau, WI",,,,,,,,,,,,,,,,,
,Camp Courageous Triathlon,8/3/2009,info@campcourageous.org,3194655916 211,http://www.campcourageous.org/,"Monticello, IA",,,,,,,,,,,,,,,,,
,Coon Creek Classic,8/3/2009,stephanie@hampshireparkdistrict.org,8476832690 202,http://www.hampshireparkdistrict.org/,"Hampshire, IL",,,,,,,,,,,,,,,,,
,28th Annual I Tried a Triathlon,8/3/2009,kvest@oswegolandpd.org,6305544425 ,http://oswegolandparkdistrict.org/,"Oswego, IL",,,,,,,,,,,,,,,,,
,Tri Indy,8/3/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/TRIINDY/TriIndy-Home.php,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Oshkosh Area Triathlon,8/3/2009,info@midwestsportsevents.com,8004298044 ,http://midwestsportsevents.com/,"Winneconne, WI",,,,,,,,,,,,,,,,,
,ZOOMA Chicago Half Marathon + 10K,8/9/2009,info@zoomarun.com,7033492230 ,http://zoomarun.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,Gurnee Days 10k Race and 2 Mile Fun Run,8/9/2009,ron@gurneeparkdistrict.com,8476237788 ,http://gurneeparkdistrict.com/,"Gurnee, IL",,,,,,,,,,,,,,,,,
,"6th Annual Mendota Community Hospital CornaPalooza 5K/10K Run, 5K Walk",8/9/2009,jgahan@mendotahospital.org,8155397461 3209,http://www.mendotahospital.org/,"Mendota, IL",,,,,,,,,,,,,,,,,
,I.V.C.A.'s 5th Annual Mendota Sweet Corn Century,8/9/2009,davebrew@mtco.com,8155382425 ,http://bikeiv.org/sweet_corn_century.html,"Mendota, IL",,,,,,,,,,,,,,,,,
,Sweet Corn Century,8/9/2009,, ,,"Mendota, IL",,,,,,,,,,,,,,,,,
,Personal Best 5,8/9/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Tahqua Trail Run,8/9/2009,info@greatlakesendurance.com,7157010360 ,http://www.greatlakesendurance.com/,"Paradise, MI",,,,,,,,,,,,,,,,,
,Sanford and Sun Triathlon and Duathlon,8/9/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Sanford, MI",,,,,,,,,,,,,,,,,
,Wisconsin Dairyland Dare Cycling Challenge,8/9/2009,michelle@dairylanddare.com,6085530144 ,http://www.dairylanddare.com/,"Dodgeville, WI",,,,,,,,,,,,,,,,,
,Gopher To Badger Run,8/9/2009,info@finalstretch.com,5076649438 ,http://www.finalstretch.com/running-events/gopher-to-badger/info/,"Hudson, WI",,,,,,,,,,,,,,,,,
,Hank Aaron State Trail 5K Run/Walk,8/9/2009,lsjacquart@gmail.com,2627818877 ,http://www.hankaaronstatetrail.org/,"Milwaukee, WI",,,,,,,,,,,,,,,,,
,Pleasant Prairie Junior Triathlon,8/9/2009,raceinfo@plprairie.com,2629256742 ,http://recplexonline.com/triathlons-special-events/pleasant-prairie-junior-triathlon,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,John Hatherly Mid Century Ride Waupaca,8/9/2009,info@321goevents.com,8477272681 ,http://www.321goevents.com/,"Waupaca, WI",,,,,,,,,,,,,,,,,
,Chicago 10K,8/10/2009,info@chicago10K.com, ,http://www.chicago10k.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Petoskey's Epic Triathlons,8/10/2009,info@3disciplines.com,2315462229 ,http://www.3disciplines.com/,"Petoskey, MI",,,,,,,,,,,,,,,,,
,Elvis is Alive 5K,8/14/2009,Race@FleetFeetChicago.com,7735613338 2,http://www.elvisisalive5k.com/,"Chicago, IL",,,,,,,,,,,,,,,,,
,2013 Fleet Feet Madison Aquathon #5,8/14/2009,raceday@racedayeventsllc.com,6083165755 ,http://www.racedayeventsllc.com/content/aquathon-series-madison,"Madison, WI",,,,,,,,,,,,,,,,,
,Waupaca Kids Triathlon,8/15/2009,lynn@waupacaareachamber.com,7152587343 ,http://www.waupacaareatriathlon.com/,"Waupaca, WI",,,,,,,,,,,,,,,,,
,Mahomet Half Marathon & 5K,8/16/2009,maycrace@mchsi.com,2177669008 ,http://maycrace.home.mchsi.com/,"Mahomet, IL",,,,,,,,,,,,,,,,,
,Oregon Park District Sprint Triathlon,8/16/2009,jena@oregonpark.org,8157323101 ,http://www.oregonpark.org/,"Oregon, IL",,,,,,,,,,,,,,,,,
,Sprint Triathlon #3,8/16/2009,tuxbro@indy.rr.com,3177333300 ,http://www.tuxbro.com/entry-info/SprintTri/SprintTri-Home.php,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Fallsburg Festival of Races,8/16/2009,coachdroski@aim.com,6162602669 ,http://www.fallsburghalf.8k.com/,"Lowell, MI",,,,,,,,,,,,,,,,,
,Three Rivers Triathlon/ Duathlon,8/16/2009,, ,,"THREE RIVERS, MI",,,,,,,,,,,,,,,,,
,Three Rivers Triathlon/Duathlon,8/16/2009,aquamantriusa@yahoo.com,2692782075 ,http://www.aquamantri.com/,"THREE RIVERS, MI",,,,,,,,,,,,,,,,,
,Madison Mini-Marathon & 5k,8/16/2009,info@madisonminimarathon.com,8004950474 ,http://www.madisonminimarathon.com/,"Madison, WI",,,,,,,,,,,,,,,,,
,2011 Shoreline Duathlon,8/16/2009,russell.delap@cuw.edu,2622434323 ,http://www.imathlete.com/,"Mequon, WI",,,,,,,,,,,,,,,,,
,Waupaca Area Triathlon,8/16/2009,lynn@waupacaareachamber.com,7152587343 ,http://www.waupacaareachamber.com/,"Waupaca, WI",,,,,,,,,,,,,,,,,
,Pigman Long Course & Olympic Triathlon,8/17/2009,john@pigmantri.com,3193730741 ,http://pigmantri.com/,"Palo, IA",,,,,,,,,,,,,,,,,
,Wright Ride,8/17/2009,mstewart@oprhc.org,7088487150 ,http://oakparkcycleclub.org/wright_ride,"Oak Park, IL",,,,,,,,,,,,,,,,,
,Windrunner 10k,8/17/2009,windrunnerpres@gmail.com,6308495463 ,http://www.windrunners.org/Windrunner10k,"Wheaton, IL",,,,,,,,,,,,,,,,,
